"","hgnc_symbol","entrezgene","description","ensembl_gene_id"
"1","DBNDD1",79007,"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","ENSG00000003249"
"2","TMEM98",26022,"transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]","ENSG00000006042"
"3","ELAC2",60528,"elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]","ENSG00000006744"
"4","LRRC23",10233,"leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]","ENSG00000010626"
"5","MVP",9961,"major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]","ENSG00000013364"
"6","VIM",7431,"vimentin [Source:HGNC Symbol;Acc:HGNC:12692]","ENSG00000026025"
"7","HMGB3",3149,"high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]","ENSG00000029993"
"8","TMSB10",9168,"thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]","ENSG00000034510"
"9","RFC2",5982,"replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]","ENSG00000049541"
"10","CYBA",1535,"cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]","ENSG00000051523"
"11","CSNK2A2",1459,"casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]","ENSG00000070770"
"12","APBB1IP",54518,"amyloid beta precursor protein binding family B member 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17379]","ENSG00000077420"
"13","SNX10",29887,"sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]","ENSG00000086300"
"14","BAX",581,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]","ENSG00000087088"
"15","OAS1",4938,"2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]","ENSG00000089127"
"16","GNPTG",84572,"N-acetylglucosamine-1-phosphate transferase gamma subunit [Source:HGNC Symbol;Acc:HGNC:23026]","ENSG00000090581"
"17","SEL1L3",23231,"SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]","ENSG00000091490"
"18","ZC3HC1",51530,"zinc finger C3HC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29913]","ENSG00000091732"
"19","LRRFIP2",9209,"LRR binding FLII interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6703]","ENSG00000093167"
"20","BAMBI",25805,"BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]","ENSG00000095739"
"21","HSD3B7",80270,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]","ENSG00000099377"
"22","TRIM9",114088,"tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288]","ENSG00000100505"
"23","GSS",2937,"glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]","ENSG00000100983"
"24","TPD52L2",7165,"tumor protein D52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]","ENSG00000101150"
"25","E2F1",1869,"E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]","ENSG00000101412"
"26","WDR13",64743,"WD repeat domain 13 [Source:HGNC Symbol;Acc:HGNC:14352]","ENSG00000101940"
"27","TRADD",8717,"TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]","ENSG00000102871"
"28","NUTF2",10204,"nuclear transport factor 2 [Source:HGNC Symbol;Acc:HGNC:13722]","ENSG00000102898"
"29","AXIN1",8312,"axin 1 [Source:HGNC Symbol;Acc:HGNC:903]","ENSG00000103126"
"30","MPG",4350,"N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]","ENSG00000103152"
"31","LMF1",64788,"lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]","ENSG00000103227"
"32","UBE2I",7329,"ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]","ENSG00000103275"
"33","STX4",6810,"syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]","ENSG00000103496"
"34","BCKDK",10295,"branched chain ketoacid dehydrogenase kinase [Source:HGNC Symbol;Acc:HGNC:16902]","ENSG00000103507"
"35","BBC3",27113,"BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]","ENSG00000105327"
"36","MET",4233,"MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]","ENSG00000105976"
"37","NUDT1",4521,"nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048]","ENSG00000106268"
"38","PLOD3",8985,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]","ENSG00000106397"
"39","EZH2",2146,"enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","ENSG00000106462"
"40","BLVRA",644,"biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]","ENSG00000106605"
"41","POLD2",5425,"DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]","ENSG00000106628"
"42","PFN1",5216,"profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]","ENSG00000108518"
"43","VAT1",10493,"vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]","ENSG00000108828"
"44","CRYAB",1410,"crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]","ENSG00000109846"
"45","HTATIP2",10553,"HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]","ENSG00000109854"
"46","CTSC",1075,"cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]","ENSG00000109861"
"47","CORO1C",23603,"coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]","ENSG00000110880"
"48","LTBR",4055,"lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]","ENSG00000111321"
